Category,Year,Title,Author,Text,topic_prediction,probabilities
DDR,1973,Lied vom Vaterland,Oktoberklub,"Kennst du das Land mit seinen alten Eichen? Das Land von Einstein, von Karl Marx und Bach? Wo jede Antwort endet mit dem Fragezeichen, wo ich ein Zimmer habe unterm Dach. Wo sich so viele, wegen früher, oft noch schämen, wo mancher Vater eine Frage nicht versteht. Wo ihre Kinder ihnen das nicht übelnehmen, weil seine Antwort im Geschichtsbuch steht. Hier schaff ich selber, was ich einmal werde. Hier geb' ich meinem Leben einen Sinn. Hier hab' ich meinen Teil von unsrer Erde. Der kann so werden, wie ich selber bin. Das ist das Land mit seinen Seen und Wäldern. Das kleine Land, das man an einem Tag durchfährt. Wo man was wird, auch ohne seine Eltern, doch auch Beziehungen sind manchmal etwas wert. Hier steht die Schule und mein Klassenzimmer, das riecht heut immer noch nach Terpentin. Von Mathe hab ich heut noch keinen Schimmer, doch vor den Lehrern kann ich meine Mütze ziehn. Hier schaff ich selber, was ich einmal werde. Hier geb' ich meinem Leben einen Sinn. Hier hab' ich meinen Teil von unsrer Erde. Der kann so werden, wie ich selber bin. Das ist das Land, wo die Fabriken uns gehören. Wo der Prometheus schon um fünf aufsteht. Hier kann man manche Faust auf manchen Tischen hören. Bevor dann wieder trotzdem was nicht geht, wo sich auf Wohnungsämtern Hoffnungen verlieren, wo ein Parteitag sich darüber Sorgen macht, wo sich die Leute alles selber reparieren, weil sie das Werkzeug haben, Wissen und die Macht. Hier schaff ich selber, was ich einmal werde. Hier geb' ich meinem Leben einen Sinn. Hier hab' ich meinen Teil von unsrer Erde. Der kann so werden, wie ich selber bin. Das ist das Land mit dem Problem im Winter, das Züge stoppt und an die Fenster klirrt. Wo wir viel reden über später und auch Kinder und wo ein Cello spielt, bevor es leise wird. Hier lernte meine Mutter das Regieren, als sie vor einem Trümmerhaufen stand. Ich möchte dieses Land nie mehr verlieren. Es ist mein Mutter- und mein Vaterland.",Bedrohung der Erde durch Mensch und Technologie,1.0
DDR,1984,Du kommst nicht in mein Bett,Petra Zieger,"Abends wartest du ganz zufällig am Bus, du weißt genau, zu welcher Zeit ich kommen muss. Du legst dein Lächeln auf und tust immer vertraut, dass jeder denken muss, ich wäre deine Braut, deine Braut. Abends kommst du an und lädst dich selber ein, und selbstverständlich immer mit der Flasche Wein. Sprichst große Dinge und machst es dir bequem und kannst dann gar nicht lachen, wenn ich dann sage du sollst geh’n, du sollst geh’n. Hohoho, du kommst nicht in mein Bett, hohoho, machst du auch höflich und nett. Hohoho, alles Routine, ich hab‘ dich erkannt, du kommst nicht in mein Bett. Vor deinen Freunden drehst du und spielst den King, als wär‘ ich nur ein kleiner Fisch, der an dir hing. Du kippst die Sache um, dass du dich nicht blamierst, ich trinke deinen Wein und merke wie du frierst, wie du frierst. Hohoho, du kommst nicht in mein Bett, hohoho, machst du auch höflich und nett. Hohoho, alles Routine, ich hab‘ dich erkannt, du kommst nicht in mein Bett. Hohoho, du kommst nicht in mein Bett, hohoho, machst du auch höflich und nett. Hohoho, alles Routine, ich hab‘ dich erkannt, du kommst nicht in mein, du kommst nicht in mein, du kommst nicht in mein Bett.",Rauschen,0.0
DDR,1973,Warte nicht auf bessre Zeiten,Wolf Biermann,"Warte nicht auf bess're Zeiten. Manchen hör ich bitter sagen ""Sozialismus - schön und gut. Aber was man uns hier aufsetzt, das ist der falsche Hut!"" Manchen seh ich Fäuste ballen in der tiefen Manteltasche. Kalte Kippen auf den Lippen und in den Herzen Asche. Wartest du auf bess're Zeiten, wartest du mit deinem Mut gleich dem Tor, der Tag für Tag an des Flusses Ufer wartet, bis die Wasser abgeflossen, die doch ewig fließen. Manche raufen sich die Haare. Manche seh ich hasserfüllt. Manche seh ich in das Wolltuch des Schweigens eingehüllt. Manche hör ich abends jammern: ""Was bringt uns der nächste Tag? An was solln wir uns noch klammern? An was? An was? An was?"" Wartest du auf bess're Zeiten, wartest du mit deinem Mut gleich dem Tor, der Tag für Tag an des Flusses Ufer wartet, bis die Wasser abgeflossen, die doch ewig fließen. Manche hoffen, daß des Flusses Wasser nicht mehr fließen kann. Doch im Frühjahr, wenn das Eis taut, fängt es erst richtig an. Manche wollen diese Zeiten wie den Winter überstehn. Doch wir müssen Schwierigkeiten bestehn! Bestehn! Bestehn! Warte nicht auf bess're Zeiten! Warte nicht mit deinem Mut gleich dem Tor, der Tag für Tag an des Flusses Ufer wartet, bis die Wasser abgeflossen, die doch ewig fließen. Viele werden dafür sorgen, daß der Sozialismus siegt. Heute! Heute, nicht erst morgen! Freiheit kommt nie verfrüht. Und das beste Mittel gegen Sozialismus (sag ich laut) ist, daß ihr den Sozialismus aufbaut! Aufbaut! Aufbaut! Wartet nicht auf bess're Zeiten! Wartet nicht mit eurem Mut gleich dem Tor, der Tag für Tag an des Flusses Ufer wartet, bis die Wasser abgeflossen, die doch ewig fließen, die doch ewig fließen.",Tanz der Helden und Feinde,1.0
DDR,1971,Gestern War Der Ball,Manfred Krug,"Gestern war der Ball Da sah ich das erste Mal Dich und deinen Gang Mir wurde bang und bänger Denn du gingst auf mich zu Es war gerade Damenwahl Und du sagtest leis: Darf ich bitten? Mir schwanden die Sinne Mir wurde Schwarz vor den Augen mir wurde lila und grün Dann sah ich Möwen, Schwäne und Kraniche ziehen Und du fragtest ängstlich: Tut dir etwas weh? Und ich sagte: Nein! Ich bin ok. Nun bin ich verliebt Ich bin ganz verrückt nach dir Alles, was es gibt Seide und Samt für dich Und dann ab ins Standesamt Und wenn mich der Mann dort fragt Ob ein Leben lang Ich dir die Treue halte Die Treue Dann wird mir Schwarz vor den Augen ich sehe lila und grün Ich sage: Ja und Möwen und Kraniche ziehen Und du fragst ängstlich:  Tut dir etwas weh? Und ich sage Nein! Ich bin ok Und wenn mich der Mann dort fragt Ob ein Leben lang ich dir die Treue halte Die Treue Dann wird mir Schwarz vor den Augen ich sehe lila und grün Ich sage: Ja und Möwen und Kraniche ziehen Und du fragst ängstlich:  Tut dir etwas weh? Und ich sage Nein! Ich bin ok","Liebe, Musik und Träume in Deutschland",0.6025739143755143
DDR,1985,Klang der Stille,Gerhard Schöne,"Manchmal liege ich und lausche Bang in mich hinein Kommt das Lärmen noch zur Ruhe Ist das Schweigen rein? Ist die Stimme schon erstorben Die einst in mir sprach? Kommt ein Same noch zur Reife Liegt das Feld schon brach? Manchmal liege ich und lausche Ob ich noch versteh Was die Lerchen mir erzählen Überm roten Klee? Hör ich noch den Klang der Stille Wie vor Jahren heut? Hab mich oft vor ihr verborgen Oft, zu oft zerstreut Manchmal liege ich und lausche Und dann kommt es vor Dass der weiche Schoß der Erde - Hebt mich leicht empor Und dann hr ich deutlich reden Lerche, Wind und Klee Stehe auf und sage: Amen Eh nach Haus ich geh",Rauschen,0.0
DDR,1984,Sage mir alles,Lift,"Du bist unheimlich still, aus deinem Munde fällt kein Wort. So ganz in dich gekehrt, Gedanken sind ganz weit fort. Baust deine Welt für dich allein, ist sie auch noch so klein. Sagst keinem Menschen das, was dich bewegt. Was könnte es sein? Hab Vertrauen, hab Vertrauen, hab Vertrauen, Vertrauen zu mir, nun komm! Sage mir alles, was du von dir weißt. Hab keine Angst vor einem off'nen Wort. Schlage die Angst noch eh' sie dich noch zerreißt, sage mir alles, was du von dir weißt. Auf alle Fragen, die kommen, hüllst du dich in Schweigen ein. Durch meine Worte lässt du deinen Blick in mich hinein. Lass doch die vergang'ne Zeit, die holst du nicht retour. Denn in der Gegenwart musst du besteh'n, da schlägt die Uhr. Hab Vertrauen, hab Vertrauen, hab Vertrauen, Vertrauen zu mir, nun komm! Sage mir alles was du von Dir weißt. Hab keine Angst vor einem off `nen Wort. Schlage die Angst noch eh` sie dich noch zerreißt, Sage mir alles was du von Dir weißt. Sage mir alles, was du von dir weißt. Hab keine Angst vor einem off'nen Wort. Schlage die Angst noch eh' sie dich noch zerreißt, sage mir alles, was du von dir weißt.",Rauschen,0.0
DDR,1978,Purpurrote Segel,Czerwone Gitary," Purpurrote Segel setzen wir Unsere ersten Träume treiben uns Kleine Kapitäne auf der ersten Reise Weit hinaus, von zu Haus Purpurrote Segel irgendwo da draußen Vor dem Wind fliegen sie Dunkelblaue Segel setzen wir Für die zweite Reise vor dem Sturm Bauеn unsere Häuser an dеn Rand der Ströme Ruhen aus, dort zu Haus Dunkelblaue Segel mit dem Kampf der Wellen Vor dem Sturm liegen sie Ausgeblichne Segel setzen wir Unsre letzten Träume ziehn’ hinaus Fürchten keine Wetter Fahren bis ans Ende, ruhen aus Ausgeblichne Segel erst zu Haus Tragen uns ans Ufer Und von dort schauen Wir zurück",Romantische Liebe am Meer,1.0
DDR,1989,Leben auf Verdacht,Datzu,"Bevor ich dich verlassen hab', führte jede Spur zu dir. Die ander'n waren Schatten am schwarzen Rand. Heut' mach' ich mich für sie schön, hab' aus Trotz, was sie nicht sehen, ich fang' mir Sehnsucht ein. Ich richte mich am Zufall auf, bis der glatte Tag zerläuft, die blassen Wasserfarben auf Papier. Ich bin frei zu leben auf Verdacht, weit entfernt sind die Ander'n in der Nacht, sind wir bei ihnen angelangt, fassen wir es kaum, denn sie waren ja immer schon ganz nah. Bevor ich dich verlassen hab', um zu hören: ""Komm zurück!"", da waren die ander'n Vögel in der Luft. Doch wir sind, wie alle sind, aus den Augen, aus dem Sinne, schade, g'rade wir. Unter Schwalben schläfst du ein, Wolf unter Wölfen wachst du auf, hinter dir Spuren kreuz und quer. Weit entfernt sind die Ander'n in der Nacht, sind wir bei ihnen angelangt, fassen wir es kaum, denn sie waren ja immer schon ganz nah.",Rauschen,0.0
DDR,1982,Sommerreggae,Reggae Play,"Ich lief runter zum Strand, um die Wellen zu bespritzen samt meiner weißen Haut. Da lagen Menschen rum, nur so zum Schwitzen. Ich lachte mir eins. Und das Wasser war laut. Lalala… Kinder da und Großmama, Liebespaar, Kurzfilmstar, die hatten alle massig zu tun mit Ihrem Kleckerpalast. Was soll denn das? Bei Ebbe hält’s die Träumer fit, die Flut nimmt wieder alles mit. Lalala… So zwei, drei Wochen hinter'm Sonnenschutz, das ist nichts für mich. Ich lauf’ den Hühnergöttern nach. Und ganz unbewusst lief ich die halbe Küste ab. Natürlich nicht nur mit dem Kopf nach unten, ich hab’ da schon eine ganze Menge geseh’n, so lauter Muschelzeugs. Und heiße Mädchen. Die jetzt trocken bei mir im Wandschrank steh’n.",Rauschen,0.0
DDR,1984,Mein Weg,Stern Meißen,"Ich wäre so ’n Held wie Spartakus und Robin Hood. Und nichts kann mir die Welt. Ich wollte sein so stark wie sie. Doch war ich noch zu klein. Ich hatte Mut, doch fehlte mir die Stärke stark zu sein. Ich merkte bald, dass es im Leben nicht nur Freunde gibt. dass man Bosheit, Neid und Hass nicht gleich bei jedem sieht. Ich dachte nach: Wie muss ich sein und wo ist mein Platz? Ich fragte, wann was richtig ist und wer die Antwort hat. So und so weit ist mein Weg durch die Zeit. So und so weit ist mein Weg. So und so weit ist mein Weg durch die Zeit. So und so weit ist mein Weg. Ich hör’ das Leben und merke oft, manches geht an mir vorbei. Man hört so viel und sagt so wenig. Nichts ist mir einerlei. Deshalb war ich als Teil der Welt. Und versuch' es jeden Tag, noch ein bisschen mehr zu tun. Es ist nie gewagt. So und so weit ist mein Weg durch die Zeit. So und so weit ist mein Weg. So und so weit ist mein Weg durch die Zeit. So und so weit ist mein Weg. So und so weit ist mein Weg durch die Zeit. So und so weit ist mein Weg. So und so weit ist mein Weg durch die Zeit. So und so weit ist mein Weg.",Rauschen,0.0
